bib_key,entry_type,title,authors,year,venue,doi,url
Chen2022Lane,article,Lane-Exchanging Driving Strategy for Autonomous Vehicle via Trajectory Prediction and Model Predictive Control,Yimin Chen and Huilong Yu and Jinwei Zhang and Dongpu Cao,2022,Chinese Journal of Mechanical Engineering,10.1186/s10033-022-00748-7,https://doi.org/10.1186/s10033-022-00748-7
Li2026TRUST,article,TRUST-Planner: Topology-Guided Robust Trajectory Planner for AAVs With Uncertain Obstacle Spatial-Temporal Avoidance,J. Li and J. Sun and J. Zhong and T. Long,2026,IEEE Transactions on Industrial Electronics,10.1109/tie.2026.3695224,https://doi.org/10.1109/tie.2026.3695224
Hahn2020Predictive,inproceedings,Predictive Collision Management for Time and Risk Dependent Path Planning,Carsten Hahn and Sebastian Feld and Hannes Schroter,2020,Proceedings of the 28th International Conference on Advances in Geographic Information Systems,10.1145/3397536.3422252,https://doi.org/10.1145/3397536.3422252
Strawser2023Motion,inproceedings,Motion Planning Under Uncertainty with Complex Agents and Environments via Hybrid Search (Extended Abstract),"Strawser, Daniel and Williams, Brian",2023,Proceedings of the Thirty-Second International Joint Conference on Artificial Intelligence,10.24963/ijcai.2023/792,https://doi.org/10.24963/ijcai.2023/792
Schraner2019Pedestrian,inproceedings,Pedestrian Collision Avoidance System for Scenarios with Occlusions,Markus Schraner and Maxime Bouton and Mykel J. Kochenderfer and Daniel Watzenig,2019,2019 IEEE Intelligent Vehicles Symposium (IV),10.1109/ivs.2019.8814076,https://doi.org/10.1109/ivs.2019.8814076
Liu2023Design,article,Design of Real-time Pedestrian Trajectory Prediction System based on Jetson Xavier,Quankai Liu and Haifeng Sang,2023,Frontiers in Computing and Intelligent Systems,10.54097/fcis.v4i3.11156,https://doi.org/10.54097/fcis.v4i3.11156
Li2022Emergency,article,Emergency collision avoidance strategy for autonomous vehicles based on steering and differential braking,Haiqing Li and Taixiong Zheng and Fuhao Xia and Lina Gao and Qing Ye and Zonghuan Guo,2022,Scientific Reports,10.1038/s41598-022-27296-3,https://doi.org/10.1038/s41598-022-27296-3
LucasEstan2025Impact,inproceedings,Impact of ADAS and V2X Penetration Rates on Cooperative Active Safety,"Lucas-Estan, M.C. and Coll-Perales, B. and Khan, M.I. and Gozalvez, J. and Altintas, O.",2025,"2025 IEEE Future Networks World Forum: Beyond Connectivity: 6g for a Sustainable and Intelligent Future, FNWF 2025",10.1109/fnwf66845.2025.11317364,https://doi.org/10.1109/fnwf66845.2025.11317364
Nolte2018Representing,inproceedings,Representing the Unknown – Impact of Uncertainty on the Interaction between Decision Making and Trajectory Generation,"Nolte, Marcus and Ernst, Susanne and Richelmann, Jan and Maurer, Markus",2018,2018 21st International Conference on Intelligent Transportation Systems (ITSC),10.1109/itsc.2018.8569490,https://doi.org/10.1109/itsc.2018.8569490
He2023Towards,article,Towards Safe Autonomous Driving: Decision Making with Observation-Robust Reinforcement Learning,"He, Xiangkun and Lv, Chen",2023,Automotive Innovation,10.1007/s42154-023-00256-x,https://doi.org/10.1007/s42154-023-00256-x
Du2023Learning,inproceedings,Learning from Demonstrations of Critical Driving Behaviours Using Driver's Risk Field,"Du, Yurui and Acerbo, Flavia Sofia and Kober, Jens and Son, Tong Duy",2023,IFAC-PapersOnLine,10.1016/j.ifacol.2023.10.1376,https://doi.org/10.1016/j.ifacol.2023.10.1376
Benciolini2023Information,article,Information fusion for online estimation of the behavior of traffic participants using belief function theory,"Benciolini, Tommaso and Zhang, Xuhui and Wollherr, Dirk and Leibold, Marion",2023,Frontiers in Future Transportation,10.3389/ffutr.2023.1216527,https://doi.org/10.3389/ffutr.2023.1216527
Ma2022Mean,article,Mean-Semivariance Policy Optimization via Risk-Averse Reinforcement Learning,Xiaoteng Ma and Shuai Ma and Li Xia and Qianchuan Zhao,2022,Journal of Artificial Intelligence Research,10.1613/jair.1.13833,https://doi.org/10.1613/jair.1.13833
Connie2022visual,article,A visual approach towards forward collision warning for autonomous vehicles on Malaysian public roads,"Connie, Tee and Wong, Man Kiat and Goh, Michael Kah Ong and Wong, Li Pei and Teh, Pin Shen and Choo, Ai Ling",2022,F1000Research,10.12688/f1000research.72897.2,https://doi.org/10.12688/f1000research.72897.2
